cafe_id,name,picture,detail_url,latitude,longitude
89,cafe & dining blue terminal,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/c02c3d24ca6816f163fb625d20952da5/17771139625f956f2971da6_user.jpg,https://cafesnap.me/c/7439,35.4512124,139.6472356
90,Shinha,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/c02c3d24ca6816f163fb625d20952da5/19096904055f956de3a1d45_user.jpg,https://cafesnap.me/c/2904,35.4499169,139.6378069
91,Caffè Sanpopola,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/d3aa70d95ffa4bc84107228ead91881a/6683228445f9376a56ddca_image.jpg,https://cafesnap.me/c/11321,35.4515836,139.6305437
92,BUBBLE OVER,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/733e016bcc100d33b26e3125b2a30a16/18106539725f91548108c09_image.jpg,https://cafesnap.me/c/5856,35.546537,139.546005
93,ELOISE's Cafe 横浜ハンマーヘッド店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/eff1dde420f40a94a753712b9461e544/20060657325f900c4a54fcb_user.jpg,https://cafesnap.me/c/14305,35.4566535,139.6419573
94,bills 横浜赤レンガ倉庫,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/1b66dc397c116441d6d8ba212f5f48d4/8634353535f8e09fc76ca4_user.jpg,https://cafesnap.me/c/204,35.4527312,139.6435794
95,VanillaBeans みなとみらい本店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/9c5cb1cbd8b973f6b2aafa38a979d1a5/5439040285f8d92e9c8f45_user.jpg,https://cafesnap.me/c/3474,35.4513523,139.6382679
96,LE SALON DE NINA’S クィーンズスクエア横浜,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/1b66dc397c116441d6d8ba212f5f48d4/16779007675f8cbdde54a88_user.jpg,https://cafesnap.me/c/7529,35.4562079,139.6339235
97,24/7 coffee&roaster yokohama,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/22a11e3d1eee149af25a7bebf87147ed/15392790485f8be64dacb4f_user.jpg,https://cafesnap.me/c/6378,35.465264,139.622848
98,ウエスト ベイカフェ ヨコハマ,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/ea761cc9b906eaa5d2ea3a05d03d5ba1/4500740485f84744f1bdbe_user.jpg,https://cafesnap.me/c/8786,35.4661722,139.6205728
